文件名,解析时间(ms),内存使用(KB),AST节点数量,结果
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-A10.smt2,79.7007,0,2467,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-A11.smt2,76.107,0,2406,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-A12.smt2,71.9604,0,2467,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-A13.smt2,89.7146,212,2821,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-A6.smt2,66.6875,0,2244,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-A7.smt2,67.2521,220,2323,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-A8.smt2,78.577,0,2635,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-A9.smt2,73.5361,0,2428,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-S1.smt2,175.557,0,2895,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-S2.smt2,155.321,0,2505,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/VS3/VS3-benchmark-S3.smt2,4433.33,0,67329,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/stp_samples/run_03230.trace.cond_028964_0x4183dc_00.smt2,81.5516,0,3021,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/stp_samples/run_03230.trace.cond_028966_0x4183e1_00.smt2,80.8252,0,3033,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/stp_samples/run_03230.trace.cond_028975_0x4183c4_00.smt2,89.6595,0,3049,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/stp_samples/run_03230.trace.cond_028978_0x4183c8_00.smt2,79.9826,0,3057,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/stp_samples/run_03230.trace.cond_028980_0x4183cd_00.smt2,81.0332,0,3065,成功
/pub/data/jiafq/iscas/Parser_Comparison/../benchmarks/part39/non-incremental/QF_BV/stp_samples/run_03230.trace.cond_028982_0x4183d2_00.smt2,80.2331,0,3073,成功
